date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:48	158/158	---MCZ	200	added ('OK')	text/plain	etag:W/%2265ae2b46-104%22	https://properties.emaar.com/robots.txt		(from )
15:39:49	219482/219482	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Sep%202024%2010:39:48%20GMT	https://properties.emaar.com/en/properties/marina-views-at-rashid-yachts-marina/	C:/My%20Web%20Sites/Emar/properties.emaar.com/en/properties/marina-views-at-rashid-yachts-marina/index.html	(from )
15:39:49	46555/46555	---MCZ	200	added ('OK')	text/css	etag:W/%22663376b9-b5db%22	https://properties-emaar-com.azureedge.net/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.3.1	C:/My%20Web%20Sites/Emar/properties-emaar-com.azureedge.net/wp-content/plugins/instagram-feed/css/sbi-styles.min9b30.css	(from https://properties.emaar.com/en/properties/marina-views-at-rashid-yachts-marina/)
15:39:50	58841/58841	---MCZ	200	added ('OK')	text/css	etag:W/%2266e810a4-e5d9%22	https://properties-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/plugins/sitepress-multilingual-cms/dist/css/blocks/styles.css?ver=1726484644	C:/My%20Web%20Sites/Emar/properties-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/plugins/sitepress-multilingual-cms/dist/css/blocks/stylesbbba.css	(from https://properties.emaar.com/en/properties/marina-views-at-rashid-yachts-marina/)
15:39:50	11829/11829	---MCZ	200	added ('OK')	text/css	etag:W/%2266e810a4-2e35%22	https://properties-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/wp-bootstrap-starter/style.css?ver=1726484644	C:/My%20Web%20Sites/Emar/properties-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/wp-bootstrap-starter/stylebbba.css	(from https://properties.emaar.com/en/properties/marina-views-at-rashid-yachts-marina/)
15:39:50	14494/14494	---MCZ	200	added ('OK')	text/css	etag:W/%2266e810a4-389e%22	https://properties-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/emaar/inc/assets/css/ext.min.css?ver=1726484644	C:/My%20Web%20Sites/Emar/properties-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/emaar/inc/assets/css/ext.minbbba.css	(from https://properties.emaar.com/en/properties/marina-views-at-rashid-yachts-marina/)
15:39:51	13423/13423	---MCZ	200	added ('OK')	text/css	etag:W/%2266e810a4-346f%22	https://properties-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/emaar/inc/assets/js/swiperjs/swiper.min.css?ver=1726484644	C:/My%20Web%20Sites/Emar/properties-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/emaar/inc/assets/js/swiperjs/swiper.minbbba.css	(from https://properties.emaar.com/en/properties/marina-views-at-rashid-yachts-marina/)
15:39:51	2451/2451	---MCZ	200	added ('OK')	text/css	etag:W/%2266e810a4-993%22	https://properties-emaar-com.azureedge.net/wp-content/cache/min/1/assets/external/widget.css?ver=1726484644	C:/My%20Web%20Sites/Emar/properties-emaar-com.azureedge.net/wp-content/cache/min/1/assets/external/widgetbbba.css	(from https://properties.emaar.com/en/properties/marina-views-at-rashid-yachts-marina/)
15:39:51	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%2260c879eb-2606e%22	https://properties-emaar-com.azureedge.net/wp-content/themes/wp-bootstrap-starter/inc/assets/css/bootstrap.min.css?ver=6.5.2	C:/My%20Web%20Sites/Emar/properties-emaar-com.azureedge.net/wp-content/themes/wp-bootstrap-starter/inc/assets/css/bootstrap.mine63c.css	(from https://properties.emaar.com/en/properties/marina-views-at-rashid-yachts-marina/)
15:39:51	337635/337635	---MCZ	200	added ('OK')	text/css	etag:W/%2266e810a4-526e3%22	https://properties-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/emaar/style.css?ver=1726484644	C:/My%20Web%20Sites/Emar/properties-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/emaar/stylebbba.css	(from https://properties.emaar.com/en/properties/marina-views-at-rashid-yachts-marina/)
